,Discipline,Language,Edited by,Publication details,History,Publisher,Frequency,Impact factor,Standard abbreviations ISO 4 ( alt ) · Bluebook ( alt1 · alt2 ) NLM ( alt ) · MathSciNet ( alt ),ISO 4,Indexing CODEN · JSTOR ( alt ) · LCCN ( alt ) MIAR · NLM ( alt ) · Scopus,CODEN,ISSN,LCCN,OCLC no.,Links,title,description,Standard abbreviations ISO 4 ( alt ) · Bluebook ( alt1 · alt2 ) NLM · MathSciNet,Former name(s),Open access,NLM,License,Editor,Categories,Year founded,Country,Website,OCLC,Indexing CODEN · JSTOR · LCCN MIAR · NLM · Scopus
88,Chemistry,English,"Charles L. Brooks III, Gernot Frenking, Masahiro Ehara, Peter R. Schreiner","Charles L. Brooks III, Gernot Frenking, Masahiro Ehara, Peter R. Schreiner",1980-present,John Wiley & Sons,16/year,3.376 (2020),3.376 (2020),J. Comput. Chem.,J. Comput. Chem.,JCCHDD,0192-8651 (print)1096-987X (web),80643914,05081734,05081734,Journal of Computational Chemistry,"The Journal of Computational Chemistry is a peer-reviewed scientific journal published since 1980 by John Wiley & Sons. It covers research, contemporary developments in theory and methodology, and applications in all areas of computational chemistry, including ab initio quantum chemistry methods and semiempirical methods, density functional theory, molecular mechanics, molecular dynamics, statistical mechanics, cheminformatics, biomolecular structure prediction, molecular design, and bioinformatics.
",,,,,,,,,,,,
89,Electrochemistry,English,J. M. Feliu,J. M. Feliu,1959–present,Elsevier,24/year,3.012 (2015),3.012 (2015),J. Electroanal. Chem.,J. Electroanal. Chem.,JECHES,1572-6657,,,1572-6657,Journal of Electroanalytical Chemistry,"The Journal of Electroanalytical Chemistry is a peer-reviewed scientific journal on electroanalytical chemistry, published by Elsevier twice per month. It was originally established in 1959 under the current name, but was known as the Journal of Electroanalytical Chemistry and Interfacial Electrochemistry  from 1967 to 1991. It is currently edited by J. M. Feliu (Universidad de Alicante). The journal is associated with the International Society of Electrochemistry. While the journal is now published exclusively in English, earlier volumes sometimes published articles in French and German.
",,Journal of Electroanalytical Chemistry and Interfacial Electrochemistry,,,,,,,,,,
90,Environmental science,English,Sam Keltie,Sam Keltie,1999-present,Royal Society of Chemistry (United Kingdom),Monthly,2.6 (2016),2.6 (2016),Environ. Sci.: Process. Impacts,Environ. Sci.: Process. Impacts,,2050-7887 (print)2050-7895 (web),2013243138,844721788,844721788,Environmental Science: Processes & Impacts,"Environmental Science: Processes & Impacts is a monthly peer-reviewed scientific journal covering all aspects of environmental science. It is published by the Royal Society of Chemistry and Kris McNeill is the editor-in-chief. The journal was established in 1999 as the Journal of Environmental Monitoring and obtained its current title in 2013.
",,Journal of Environmental Monitoring,,,,,,,,,,
91,Organic chemistry,English,Lyle Castle,Lyle Castle,1964–present,Wiley-Blackwell (United States),Bimonthly,0.787 (2014),0.787 (2014),J. Heterocycl. Chem.,J. Heterocycl. Chem.,JHTCA,0022-152X,,1783072,1783072,Journal of Heterocyclic Chemistry,"Journal of Heterocyclic Chemistry is a peer-reviewed scientific journal summarizing progress in the field of heterocycle chemistry. It is a source for the ChemSpider database.[citation needed]
",,,,,,,,,,,,
92,Mass spectrometry,English,Richard M. Caprioli,Richard M. Caprioli,1968-present,John Wiley & Sons,Monthly,2.381 (2016),2.381 (2016),J. Mass Spectrom.,J. Mass Spectrom.,JMSPFJ,1076-5174 (print)1096-9888 (web),sn94005017,30505598,30505598,Journal of Mass Spectrometry,"The Journal of Mass Spectrometry is a peer-reviewed scientific journal covering all aspects of mass spectrometry including instrument design and development, ionization processes, mechanisms and energetics of gaseous ion reactions, spectroscopy of gaseous ions, theoretical aspects, ion structure, analysis of compounds of biological interest, methodology development, applications to elemental analysis and inorganic chemistry, computer-related applications and developments, and environmental chemistry and other fields that use innovative aspects of mass spectrometry. It was established in 1968 as Organic Mass Spectrometry and obtained its current title in 1995.
",,Organic Mass Spectrometry,,,,,,,,,,
93,Materials science,English,Liz Dunn,Liz Dunn,1991–2012,Royal Society of Chemistry (United Kingdom),Weekly,6.626 (2013),6.626 (2013),J. Mater. Chem.,J. Mater. Chem.,JMACEP,0959-9428 (print)1364-5501 (web),,23295112,23295112,Journal of Materials Chemistry,"The Journal of Materials Chemistry was a weekly peer-reviewed scientific journal covering the applications, properties and synthesis of new materials. It was established in 1991 and published by the Royal Society of Chemistry. At the end of 2012 the journal was split into three independent journals: Journal of Materials Chemistry A (energy and sustainability), Journal of Materials Chemistry B (biology and medicine) and Journal of Materials Chemistry C (optical, magnetic and electronic devices).[1] The editor-in-chief was Liz Dunn.
",,,,,,,,,,,,
94,Medicinal chemistry,English,Craig W. Lindsley,Craig W. Lindsley,1959-present,American Chemical Society (United States),Biweekly,7.446 (2020),7.446 (2020),J. Med. Chem.,J. Med. Chem.,JMCMAR,0022-2623 (print)1520-4804 (web),a63000643,39480771,39480771,Journal of Medicinal Chemistry,"The Journal of Medicinal Chemistry is a peer-reviewed medical journal covering research in medicinal chemistry. It is published by the American Chemical Society. It was established in 1959 as the Journal of Medicinal and Pharmaceutical Chemistry and obtained its current name in 1963.[1] Portoghese had served as editor-in-chief from 1972-2011.[1] In 2012, Gunda I. Georg (University of Minnesota) and Shaomeng Wang (University of Michigan) succeeded Philip S. Portoghese (University of Minnesota) as co-Editor-in -Chief. In 2021, Craig W. Lindsley (Vanderbilt University) became the new Editor-in-Chief, having served as the founding Editor-in-Chief of ACS Chemical Neuroscience since 2010. According to the Journal Citation Reports, the journal received its highest impact factor to date in 2020 impact factor, with an IF of 7.446, ranking it 1st out of 61 journals in the category ""Chemistry, Medicinal"".[2]
",,Journal of Medicinal and Pharmaceutical Chemistry,,,,,,,,,,
95,Chemistry,English,"A. J. Barnes, R. Fausto, J. Laane (2009)","A. J. Barnes, R. Fausto, J. Laane (2009)",,Elsevier ScienceDirect,biweekly,2.011 (2018),2.011 (2018),J. Mol. Struct.,J. Mol. Struct.,,0022-2860,,,0022-2860,Journal of Molecular Structure,"Journal of Molecular Structure is a scientific journal published by Elsevier ScienceDirect since 1968.  Its articles discuss molecular structure in chemistry.
",,,,,,,,,,,,
96,Chemistry,English,"C. E. Dykstra, A. J. Thakkar, M. Yáñez","C. E. Dykstra, A. J. Thakkar, M. Yáñez",1985–present,Elsevier,Biweekly,1.403 (2015),1.403 (2015),Comput. Theor. Chem.,Comput. Theor. Chem.,,2210-271X,,702664165,702664165,Computational and Theoretical Chemistry,"Computational and Theoretical Chemistry is a peer-reviewed scientific journal published by Elsevier. It was established in 1985 as Journal of Molecular Structure: THEOCHEM, a spin-off of the Journal of Molecular Structure. It obtained its current name in 2011 and covers molecular structure in theoretical chemistry.
",,Journal of Molecular Structure: THEOCHEM,,,,,,,,,,
97,Biochemistry,English,Philip J. Proteau,Philip J. Proteau,1938-present,American Chemical Society (United States),Monthly,4.257 (2018),4.257 (2018),J. Nat. Prod.,J. Nat. Prod.,JNPRDF,0163-3864 (print)1520-6025 (web),80643966,04359563,04359563,Journal of Natural Products,"The Journal of Natural Products is a monthly peer-reviewed scientific journal covering all aspects of research on the chemistry and/or biochemistry of naturally occurring compounds. It is co-published by the American Society of Pharmacognosy and the American Chemical Society. The editor-in-chief is Philip J. Proteau (Oregon State University).
",,Lloydia,,,,,,,,,,
98,Organic chemistry,English,Scott J. Miller,Scott J. Miller,1936–present,American Chemical Society (United States),Biweekly,4.805 (2017),4.805 (2017),J. Org. Chem.,J. Org. Chem.,JOCEAH,0022-3263 (print)1520-6904 (web),38005884,,38005884,The Journal of Organic Chemistry,"The Journal of Organic Chemistry,  colloquially known as JOC, is a peer-reviewed[1] scientific journal for original contributions of fundamental research in all branches of theory and practice[2] in organic and bioorganic chemistry.  It is published by the publishing arm of the American Chemical Society, with 24 issues per year.  According to the Journal Citation Reports, the journal had a 2017 impact factor of 4.805[3] and it is the journal that received the most cites (100,091 in 2017) in the field of organic chemistry.[2]  According to Web of Knowledge (and as December 2012), eleven papers from the journal have received more than 1,000 citations, with the most cited paper[4] having received 7,967 citations.  The current Editor-in-Chief is Scott J. Miller from Yale University.[5]
",,,,,,,,,,,,
99,Organometallic chemistry,English,,English,1964-present,Elsevier,Monthly,2.369 (2020),2.369 (2020),J. Organomet. Chem.,J. Organomet. Chem.,,0022-328X,,,0022-328X,Journal of Organometallic Chemistry,"The Journal of Organometallic Chemistry is a peer-reviewed scientific journal published by Elsevier, covering research on organometallic chemistry. According to the Journal Citation Reports, the journal has a 2014 impact factor of 2.173.[1]
",,,,,,,,,,,,
100,Physical chemistry,English,Joan-Emma Shea,Joan-Emma Shea,1896 to present,American Chemical Society (United States),Weekly,2.600 (2019),2.600 (2019),J. Phys. Chem. A,J. Phys. Chem. A,JPCAFH,1089-5639 (print)1520-5215 (web),,,1089-5639 (print)1520-5215 (web),The Journal of Physical Chemistry A,"The Journal of Physical Chemistry A is a scientific journal which reports  research on the chemistry of molecules - including their dynamics, spectroscopy, kinetics, structure, bonding, and quantum chemistry. It is published weekly by the American Chemical Society.
",,,,,,,,,,,,
101,Physical Chemistry,English,Joan-Emma Shea,Joan-Emma Shea,1896-present,American Chemical Society (United States),Weekly,2.991 (2020),2.991 (2020),J. Phys. Chem. B,J. Phys. Chem. B,,1520-6106 (print)1520-5207 (web),,,1520-6106 (print)1520-5207 (web),The Journal of Physical Chemistry B,"The Journal of Physical Chemistry B is a peer-reviewed scientific journal that covers research on several fields of material chemistry (macromolecules, soft matter, and surfactants) as well as statistical mechanics, thermodynamics, and biophysical chemistry.  It has been published weekly since 1997 by the American Chemical Society.
",,,,,,,,,,,,
102,Physical Chemistry,English,Joan-Emma Shea,Joan-Emma Shea,1896–present,American Chemical Society (U.S.A),Weekly,4.189 (2019),4.189 (2019),J. Phys. Chem. C,J. Phys. Chem. C,JPCCCK,1932-7447 (print)1932-7455 (web),,,1932-7447 (print)1932-7455 (web),The Journal of Physical Chemistry C,"The Journal of Physical Chemistry C publishes scientific articles reporting research on several subdisciplines of physical chemistry:
",,,,,,,,,,,,
103,Physical chemistry,English,Gregory D. Scholes,Gregory D. Scholes,2010–present,ACS Publications (United States),Biweekly,6.475 (2020),6.475 (2020),J. Phys. Chem. Lett.,J. Phys. Chem. Lett.,JPCLCD,1948-7185,,819373282,819373282,The Journal of Physical Chemistry Letters,"The Journal of Physical Chemistry Letters is a peer-reviewed scientific journal published by the American Chemical Society. The editor-in-chief is Gregory D. Scholes at Princeton University. The Journal of Physical Chemistry Letters covers research on all aspects of physical chemistry. George C. Schatz was editor-in-chief from 2010-2019. According to the Journal Citation Reports, the journal had an impact factor of 7.329 for 2018.[1]
",,,,,,,,,,,,
104,"Chemistry, materials science",English,,English,1946–present,John Wiley & Sons,,,John Wiley & Sons,J. Polym. Sci.,J. Polym. Sci.,,2642-4169,,1090354499,1090354499,Journal of Polymer Science,"Journal of Polymer Science is a peer-reviewed journal of polymer science currently published in multiple parts by John Wiley & Sons. It was originally established as the Journal of Polymer Science in 1946 by Interscience Publishers and the founding editor Herman F. Mark, but it was split in various parts in 1962. The journal has undergone re-organization several times since. In 2020, the journal will consolidate in one single publication.[1]
",,,,,,,,,,,,
105,"Chemistry, materials science",English,,English,1946–present,John Wiley & Sons,,,John Wiley & Sons,J. Polym. Sci.,J. Polym. Sci.,,2642-4169,,1090354499,1090354499,Journal of Polymer Science,"Journal of Polymer Science is a peer-reviewed journal of polymer science currently published in multiple parts by John Wiley & Sons. It was originally established as the Journal of Polymer Science in 1946 by Interscience Publishers and the founding editor Herman F. Mark, but it was split in various parts in 1962. The journal has undergone re-organization several times since. In 2020, the journal will consolidate in one single publication.[1]
",,,,,,,,,,,,
106,Chemistry,English,Tibor Braun,Tibor Braun,1968-present,Springer (Netherlands),Monthly,1.373(2020),1.373(2020),J. Radioanal. Nucl. Chem.,J. Radioanal. Nucl. Chem.,,0236-5731 (print)1588-2780 (web),,,0236-5731 (print)1588-2780 (web),Journal of Radioanalytical and Nuclear Chemistry,"The Journal of Radioanalytical and Nuclear Chemistry is a peer-reviewed scientific journal published by Springer Science+Business Media.[1]  It publishes original papers, review papers, short communications and letters on nuclear chemistry. Some of the subjects covered are nuclear chemistry, radiation chemistry, nuclear power plant chemistry, radioanalytical chemistry, and environmental radiochemistry.
",,,,,,,,,,,,
107,Chemistry,English,,English,1877–present,Royal Society of Chemistry,,,Royal Society of Chemistry,J. R. Inst. Chem.,J. R. Inst. Chem.,,2051-1620 (print)2051-1639 (web),,,2051-1620 (print)2051-1639 (web),Journal of the Royal Institute of Chemistry,"The Journal of the Royal Institute of Chemistry was a scientific journal published by the Royal Institute of Chemistry which combined with other societies in 1980 to form the Royal Society of Chemistry (RSC). It had various names, including those with the title of the Institute prior to gaining its royal charter:-
",,• Journal and Proceedings of the Royal Institute of Chemistry• Journal and Proceedings of the Royal Institute of Chemistry of Great Britain and Ireland • Journal and Proceedings of the Institute of Chemistry of Great Britain and Ireland• Proceedings of the Institute of Chemistry of Great Britain and Ireland,,,,,,,,,,
108,Electrochemistry,English,"Rober Savinell, Gerald S. Frankel, Thomas F. Fuller, Charles L. Hussey, Shelley D. Minteer, Rangachary Mukundan, Dennis G. Peters, John Weidner, Martin Winter","Rober Savinell, Gerald S. Frankel, Thomas F. Fuller, Charles L. Hussey, Shelley D. Minteer, Rangachary Mukundan, Dennis G. Peters, John Weidner, Martin Winter",1902-present,Electrochemical Society,Monthly,4.316 (2020),4.316 (2020),J. Electrochem. Soc.,J. Electrochem. Soc.,JESOAN,0013-4651 (print)1945-7111 (web),48010635,1029376,1029376,Journal of the Electrochemical Society,"The Journal of the Electrochemical Society is a monthly peer-reviewed scientific journal covering the field of electrochemical science and technology. It is published by the Electrochemical Society. According to the Journal Citation Reports, the journal has a 2019 impact factor of 3.721.[1]
",,Transactions of the American Electrochemical Society; Transactions of the Electrochemical Society,,,,,,,,,,
109,Chemistry Materials Engineering and Science,English,Judit Simon,Judit Simon,1969-present,Springer (Netherlands),Monthly,2.471 (2018),2.471 (2018),J. Therm. Anal. Calorim.,J. Therm. Anal. Calorim.,,1388-6150 (print)1572-8943 (web),,,1388-6150 (print)1572-8943 (web),Journal of Thermal Analysis and Calorimetry,"The Journal of Thermal Analysis and Calorimetry is a peer-reviewed scientific journal published by Springer Science+Business Media[1] in cooperation with Akadémiai Kiadó. Formerly this journal was known as Journal of Thermal Analysis. It publishes papers covering all aspects of calorimetry, thermal analysis, and experimental thermodynamics. Some of the subjects covered are thermogravimetry, differential scanning calorimetry of all types, derivative thermogravimetry, thermal conductivity, thermomechanical analysis, and the theory and instrumentation for thermal analysis and calorimetry.
",,,,,,,,,,,,
110,Miniaturisation,English,Abraham Lee,Abraham Lee,2001-present,Royal Society of Chemistry (United Kingdom),Biweekly,6.914 (2018),6.914 (2018),Lab Chip,Lab Chip,LCAHAM,1473-0197 (print)1473-0189 (web),2001257026,48200889,48200889,Lab on a Chip,"Lab on a Chip is a peer-reviewed scientific journal which publishes original (primary) research and review articles on any aspect of miniaturisation at the micro and nano scale. Lab on a Chip is published twice monthly by the Royal Society of Chemistry (RSC) and the editor-in-chief is Abraham Lee. The journal was established in 2001 and hosts other RSC publications: Highlights in Chemical Technology and Highlights in Chemical Biology. According to the Journal Citation Reports, the journal has a 2016 impact factor of 6.[1]
",,,,,,,,,,,,
111,Colloid and Surface Chemistry,English,Gilbert Walker,Gilbert Walker,1985-present,American Chemical Society (United States),Weekly,3.882 (2020),3.882 (2020),Langmuir,Langmuir,LANGD5,0743-7463 (print)1520-5827 (web),86649842,10666233,10666233,Langmuir,"Langmuir is a peer-reviewed scientific journal that was established in 1985 and is published by the American Chemical Society. It is the leading journal focusing on the science and application of systems and materials in which the interface dominates structure and function. Research areas covered include surface and colloid chemistry.
",,,,,,,,,,,,
112,Chemistry,German,,German,1832–1997,Wiley-VCH,,,Wiley-VCH,Liebigs Ann.,Liebigs Ann.,LACHDL,0170-2041,,,0170-2041,Liebigs Annalen,"Justus Liebigs Annalen der Chemie (often cited as just Liebigs Annalen) was one of the oldest and historically most important journals in the field of organic chemistry worldwide. It was established in 1832 and edited by Justus von Liebig with Friedrich Wöhler until Liebig's death in 1873. 
",,,,,,,,,,,,
113,Macromolecular science,English,Marc A. Hillmyer,Marc A. Hillmyer,1968–present,American Chemical Society (United States),Biweekly,5.914 (2017),5.914 (2017),Macromolecules,Macromolecules,MAMOBX,0024-9297 (print)1520-5835 (web),,802629926,802629926,Macromolecules,"Macromolecules is a peer-reviewed scientific journal that has been published since 1968 by the American Chemical Society. Initially published bimonthly, it became monthly in 1983 and then, in 1990, biweekly.[1] Macromolecules is abstracted and indexed in Scopus, EBSCOhost, PubMed, Web of Science, and SwetsWise. The editor-in-chief is Marc A. Hillmyer.[2]
Its first editor was Dr. Field H. Winslow.[3][4]
",,,,,,,,,,,,
114,Chemistry,English,"Roberto R. Gil, Gary E. Martin","Roberto R. Gil, Gary E. Martin",1969-present,John Wiley & Sons,Monthly,"2.035
(2019) Journal Citation Reports (Clarivate Analytics): 102/177 (Chemistry, Multidisciplinary)104/159 (Chemistry, Physical)18/42 (Spectroscopy) (2019)","2.035
(2019) Journal Citation Reports (Clarivate Analytics): 102/177 (Chemistry, Multidisciplinary)104/159 (Chemistry, Physical)18/42 (Spectroscopy) (2019)",Magn. Reson. Chem.,Magn. Reson. Chem.,MRCHEG,0749-1581 (print)1097-458X (web),85647586,639062734,639062734,Magnetic Resonance in Chemistry,"Magnetic Resonance in Chemistry is a monthly peer-reviewed scientific journal covering the application of NMR, ESR, and NQR spectrometry in all branches of chemistry. The journal was established in 1969 and is published by John Wiley & Sons. The editors-in-chief are Roberto R. Gil (Carnegie Mellon University) and  Gary E. Martin (Merck & Co.).
",,,,,,,,,,,,
115,,English,"Alberto Escarpa, Mamas I. Prodromidis","Alberto Escarpa, Mamas I. Prodromidis",1937-present,Springer Nature (Austria),Monthly,6.232 (2019),6.232 (2019),Microchim. Acta,Microchim. Acta,MIACAQ,0026-3672 (print)1436-5073 (web),84645540,664562640,664562640,Microchimica Acta,"Microchimica Acta is a monthly peer-reviewed scientific journal published by Springer Nature. It was established in 1937 by Fritz Pregl. The editors-in-chief are Alberto Escarpa (University of Alcalá) and Mamas I. Prodromidis (University of Ioannina), who succeeded Otto S. Wolfbeis (University of Regensburg). The journal covers research on (bio)chemical analytical methods based on the use of micro- and nanomaterials. According to the Journal Citation Reports, the journal has a 2019 impact factor of 6.232.[1]
",,Mikrochemie; Mikrochemie vereinigt mit Mikrochimica acta,Hybrid,,,,,,,,,
116,Chemistry,English,,English,1997-present,MDPI,Quarterly,,Quarterly,Molbank,Molbank,,1422-8599,,,1422-8599,Molbank,"Molbank is a peer-reviewed, open access, scientific journal covering synthetic chemistry and natural product chemistry, established in 1997 as a section of Molecules and is published by MDPI. After 2001, the journal was published on its own, and become online-only in 2009.
",,,,,,,,,,,,
117,Chemical biology,English,Robert L. Moritz,Robert L. Moritz,2005-present,Royal Society of Chemistry (United Kingdom),Bimonthly,,Bimonthly,Mol. Omics,Mol. Omics,,1742-206X (print)1742-2051 (web),2005252467,60685787,60685787,Molecular Omics,"Molecular Omics is a bimonthly peer-reviewed scientific journal published by the Royal Society of Chemistry. It covers the interface between chemistry, the ""omic"" sciences, and systems biology. The editor-in-chief is Robert L. Moritz (Institute for Systems Biology).
",,Molecular BioSystems,,,,,,,,,,
118,Physical chemistry,English,,English,1958-present,Taylor & Francis,Biweekly,1.704 (2017),1.704 (2017),Mol. Phys.,Mol. Phys.,MOPHAM,0026-8976 (print)1362-3028 (web),59016795,49725826,49725826,Molecular Physics,"Molecular Physics is a peer-reviewed scientific journal covering research on the interface between chemistry and physics, in particular chemical physics and physical chemistry. It covers both theoretical and experimental molecular science, including electronic structure, molecular dynamics, spectroscopy, reaction kinetics, statistical mechanics, condensed matter and surface science. The journal was established in 1958 and is published by Taylor & Francis. According to the Journal Citation Reports, the journal has a 2017 impact factor of 1.704.[1]
",,,,,,,,,,,,
119,Chemistry,English,Derek J. McPhee,Derek J. McPhee,1996-present,MDPI,Monthly,4.411 (2020),4.411 (2020),Molecules,Molecules,MOLEFW,1420-3049,,641147188,641147188,Molecules,"Molecules is a peer-reviewed open access scientific journal that focuses on all aspects of chemistry and materials science. It was established in March 1996 and is published monthly by MDPI. From 1997 to 2001, Molbank was published as a section of the journal, before splitting into its own journal. The editor-in-chief is Farid Chemat.
",,,Yes,,,,,,,,,
120,"Nanoscience, nanotechnology, materials science, chemistry",English,Teri W. Odom,Teri W. Odom,2001–present,American Chemical Society (United States),Monthly,11.189 (2020),11.189 (2020),Nano Lett.,Nano Lett.,NALEFD,1530-6984 (print)1530-6992 (web),00215436,,00215436,Nano Letters,"Nano Letters is a monthly peer-reviewed scientific journal published by the American Chemical Society. It was established in January 2001. The editor-in-chief is Teri W. Odom (Northwestern University).[1] The journal covers all aspects of nanoscience and nanotechnology and their subdisciplines.
",,,Hybrid,,,,,,,,,
121,Chemistry,English,Richard Kelly,Richard Kelly,1984-present,Royal Society of Chemistry (United Kingdom),Monthly,11.406 (2017),11.406 (2017),Nat. Prod. Rep.,Nat. Prod. Rep.,NPRRDF,0265-0568 (print)1460-4752 (web),93646083,888499957,888499957,Natural Product Reports,"Natural Product Reports is a monthly peer-reviewed scientific journal published by the Royal Society of Chemistry. It publishes reviews commissioned by the editorial board on all areas of natural products research. The Executive Editor is Richard Kelly.
",,,,,,,,,,,,
122,Chemical biology,English,Terry L. Sheppard,Terry L. Sheppard,2005–present,Nature Publishing Group (United States),Monthly,12.587 (2019),12.587 (2019),Nat. Chem. Biol.,Nat. Chem. Biol.,NCBABT,1552-4450 (print)1552-4469 (web),2004215507,56476033,56476033,Nature Chemical Biology,"Nature Chemical Biology is a monthly, peer-reviewed, scientific journal, which is published by Nature Publishing Group. It was first published in June 2005 (volume 1, issue 1). Terry L. Sheppard is a full-time professional editor with the title, ""Chief Editor"", and employed by Nature Chemical Biology.[1][2][3]
",,,,,,,,,,,,
123,Chemistry,English,Stuart Cantrill,Stuart Cantrill,2009–present,Nature Publishing Group,Monthly,21.687 (2019),21.687 (2019),Nat. Chem.,Nat. Chem.,NCAHBB,1755-4330 (print)1755-4349 (web),2009204055,301715811,301715811,Nature Chemistry,"Nature Chemistry is a monthly peer-reviewed scientific journal published by Nature Publishing Group. It was established in April 2009. The editor-in-chief is Stuart Cantrill. The journal covers all aspects of chemistry. Publishing formats include primary research articles, reviews, news, views, highlights of notable research from other journals, commentaries, book reviews, correspondence. Other formats are analysis of issues such as education, funding, policy, intellectual property, and the impact chemistry has on society.
",,,,,,,,,,,,
124,materials science,English,,English,2002–present,Nature Publishing Group (United Kingdom),Monthly,43.841 (2020),43.841 (2020),Nat. Mater.,Nat. Mater.,NMAACR,1476-1122 (print)1476-4660 (web),2003260101,51211555,51211555,Nature Materials,"Nature Materials, is a peer-reviewed scientific journal published by Nature Publishing Group. It was launched in September 2002. Vincent Dusastre is the launching and current chief editor.[1][2][3][4]
",,,,,,,,,,,,
125,,English,,English,2006–present,Nature Publishing Group,,13.491 (2020),13.491 (2020),Nat. Protoc.,Nat. Protoc.,,1754-2189 (print)1750-2799 (web),,,1754-2189 (print)1750-2799 (web),Nature Protocols,"Nature Protocols, published by the Nature Publishing Group, is an on-line scientific journal publishing methods in a recipe-style format. The journal was launched in June 2006 and the content includes both classical methods and cutting-edge techniques relevant to the study of biological problems. The content on this site is divided into ""Nature Protocols"" and the ""Protocol Exchange"".
",,,,,,,,,,,,
126,Chemistry,English,"Denise Parent, Sarah Ruthven","Denise Parent, Sarah Ruthven",1977–present,Royal Society of Chemistry on behalf of the French National Centre for Scientific Research,Monthly,3.288 (2019),3.288 (2019),New J. Chem.,New J. Chem.,NJCHE5,1144-0546 (print)1369-9261 (web),,39927704,39927704,New Journal of Chemistry,"The New Journal of Chemistry is a monthly peer-reviewed scientific journal publishing research and review articles on all aspects of chemistry. It is published by the Royal Society of Chemistry (RSC) on behalf of the French National Centre for Scientific Research (CNRS). It was established as Nouveau Journal de Chimie in 1977, acquiring its current title in 1999. The editors-in-chief are Denise Parent (CNRS) and Sarah Ruthven (RSC). According to the Journal Citation Reports, the journal has a 2019 impact factor of 3.288.[1]
",,Nouveau Journal de Chimie,,,,,,,,,,
127,Chemistry,English,Joaquín Plumet,Joaquín Plumet,2003-present,Walter de Gruyter,Monthly,1.216 (2019),1.216 (2019),Open Chem.,Open Chem.,,1644-3624 (print)1895-1066 (web),,,1644-3624 (print)1895-1066 (web),Open Chemistry,"Open Chemistry is a monthly peer-reviewed open access scientific journal covering all fields of chemistry. It is published by Walter de Gruyter. The editor-in-chief is Joaquín Plumet, (Complutense University).
",,Central European Journal of Chemistry,Yes,,Creative Commons-BY-NC-ND,,,,,,,
128,Organic chemistry,English,Richard Kelly,Richard Kelly,2003-present,Royal Society of Chemistry (United Kingdom),Weekly,3.876 (2020),3.876 (2020),Org. Biomol. Chem.,Org. Biomol. Chem.,OBCRAK,1477-0520 (print)1477-0539 (web),2003261024,884652802,884652802,Organic & Biomolecular Chemistry,"Organic & Biomolecular Chemistry is a weekly peer-reviewed scientific journal covering all aspects of organic chemistry, including organic aspects of chemical biology, medicinal chemistry, natural product chemistry, supramolecular chemistry, macromolecular chemistry, theoretical chemistry, and catalysis. It is published by the Royal Society of Chemistry. Its predecessor journals were Perkin Transactions I and Perkin Transactions II. The Executive Editor is Richard Kelly.
",,,,,,,,,,,,
129,Organic chemistry,English,,English,1999-present,American Chemical Society (United States),Biweekly,6.091 (2019),6.091 (2019),Org. Lett.,Org. Lett.,ORLEF7,1523-7060 (print)1523-7052 (web),,,1523-7060 (print)1523-7052 (web),Organic Letters,"Organic Letters is a biweekly peer-reviewed scientific journal covering research in organic chemistry. It was established in 1999 and is published by the American Chemical Society. In 2014, the journal moved to a hybrid open access publishing model. The founding editor-in-chief was Amos Smith. Since 2019, Erick M. Carreira serves as the editor-in-chief.[1] The journal is abstracted and indexed in: the Science Citation Index Expanded, Scopus, Academic Search Premier, BIOSIS Previews, Chemical Abstracts Service, EMBASE, and MEDLINE.[2]
",,,,,,,,,,,,
130,Chemistry,English,Paul J. Chirik,Paul J. Chirik,1982 to present,American Chemical Society (United States),biweekly,3.862 (2016),3.862 (2016),Organometallics,Organometallics,orgnd7,0276-7333 (print)1520-6041 (web),,,0276-7333 (print)1520-6041 (web),Organometallics,"Organometallics is a biweekly journal published by the American Chemical Society. Its area of focus is organometallic, as well as organometalloid chemistry. This peer-reviewed journal has an impact factor of 3.862 as reported by the 2016 Journal Citation Reports[1] by Thomson Reuters.
",,,,,,,,,,,,
131,Chemistry,English,,English,1997 to 2002,Royal Society of Chemistry (United Kingdom),,,,Perkin Trans.,,,,,,Perkin Trans.,Perkin Transactions,"Perkin Transactions is a scientific journal devoted to organic chemistry published from 1997 to 2002 by the Royal Society of Chemistry. It was split into Perkin Transactions I and Perkin Transactions II. The predecessor journals published by the Chemical Society before the merger of that Society with other Societies to form the Royal Society of Chemistry were the Journal of the Chemical Society, Perkin Transactions 1 and Journal of the Chemical Society, Perkin Transactions 2 (1972-1996). They were replaced by Organic and Biomolecular Chemistry. The name honours the chemist Arthur George Perkin.
",Royal Society of Chemistry (United Kingdom),,,,,,,,,,,
